date,kennel,food,bed,treats,collar,burglary_count,pet_product_interest,month
2021-01-27,7.391326331901299,47.632991916697264,13.140135701157865,8.212584813223666,9.033843294546033,125,17.082176411505223,2021-01
2021-01-28,9.033843294546033,64.87942002446697,9.8551017758684,8.212584813223666,0.0,94,18.396189981621013,2021-01
2021-01-29,0.0,64.05816154314459,9.033843294546033,9.033843294546033,9.8551017758684,87,18.396189981621013,2021-01
2021-01-30,0.0,75.55578028165772,10.676360257190765,9.033843294546033,13.961394182480232,83,21.84547560317495,2021-01
2021-01-31,6.5700678505789325,75.55578028165772,15.603911145124966,7.391326331901299,10.676360257190765,91,23.159489173290737,2021-01
2021-02-01,9.8551017758684,55.02431824859856,9.033843294546033,0.0,9.8551017758684,119,16.75367301897628,2021-02
2021-02-02,8.212584813223666,59.13061065521039,6.5700678505789325,0.0,0.0,115,14.7826526638026,2021-02
2021-02-03,5.748809369256566,50.096767360664366,9.033843294546033,7.391326331901299,9.8551017758684,98,16.425169626447335,2021-02
2021-02-04,10.676360257190765,55.84557672992093,14.782652663802597,9.033843294546033,0.0,124,18.067686589092066,2021-02
2021-02-05,7.391326331901299,51.7392843233091,10.676360257190765,8.212584813223666,9.033843294546033,89,17.410679804034174,2021-02
2021-02-06,7.391326331901299,76.37703876298009,7.391326331901299,10.676360257190765,12.318877219835498,111,22.83098578076179,2021-02
2021-02-07,9.033843294546033,66.5219369871117,10.676360257190765,0.0,12.318877219835498,95,19.7102035517368,2021-02
2021-02-08,7.391326331901299,54.203059767276194,6.5700678505789325,0.0,9.8551017758684,103,15.603911145124965,2021-02
2021-02-09,0.0,50.096767360664366,8.212584813223666,8.212584813223666,8.212584813223666,101,14.946904360067075,2021-02
2021-02-10,10.676360257190765,49.27550887934199,9.033843294546033,13.961394182480232,9.8551017758684,110,18.560441677885485,2021-02
2021-02-11,9.033843294546033,47.632991916697264,6.5700678505789325,9.8551017758684,8.212584813223666,89,16.26091793018286,2021-02
2021-02-12,6.5700678505789325,62.415644580499865,7.391326331901299,9.033843294546033,0.0,138,17.082176411505223,2021-02
2021-02-13,6.5700678505789325,55.84557672992093,9.8551017758684,10.676360257190765,9.8551017758684,91,18.560441677885485,2021-02
2021-02-14,6.5700678505789325,51.7392843233091,9.033843294546033,0.0,8.212584813223666,102,15.111156056331547,2021-02
2021-02-15,12.318877219835498,68.9857124310788,9.8551017758684,7.391326331901299,11.497618738513133,104,22.009727299439426,2021-02
